Event Name,Event Type,Duration (hours),Participants,Venue Type,Location,Number of Devices,Avg Power per Device (kW),Energy Usage Hours,Transport Mode,Transport Distance (km),Attendees Using Transport,Meal Type,Number of Meals,Printed Material (kg),Decoration Material (kg),Total Emissions (kg CO2)
Réunion du Conseil,Corporate Training,36,1882,Hotel,Berlin,5,1.74,36,Bus,277.54,309,Vegan,1882,8.58,12.92,7227.19
Fundraiser,Networking Event,22,1131,Outdoor,Berlin,44,0.88,22,Walking,239.05,115,Vegan,1131,8.65,4.35,1582.92
Formation,Fundraiser,16,1019,Office,Tokyo,24,1.27,16,Train,44.15,425,Non-Vegetarian,1019,4.8,23.31,4617.11
Networking,Board Meeting,12,1505,Coworking Space,Paris,38,1.67,12,Train,363.13,483,Mixed,1505,7.28,39.97,11253.43
Conference,Trade Show,42,574,Coworking Space,Tokyo,48,1.66,42,Car,332.97,181,Non-Vegetarian,574,3.3,3.33,16351.73
Événement de Bienfaisance,Board Meeting,48,60,Coworking Space,Dubai,7,1.51,48,Bus,203.66,357,Non-Vegetarian,60,3.68,14.25,4861.94
Fundraiser,Team Building,47,593,Hotel,Dubai,13,0.8,47,Bus,68.06,260,Vegan,593,1.79,31.12,1964.96
Seminar,Workshop,29,1653,Coworking Space,London,42,0.98,29,Train,197.04,352,Vegan,1653,6.83,5.48,5048.76
Trade Show,Team Building,26,718,Coworking Space,Sydney,6,1.76,26,Train,245.48,164,Vegetarian,718,9.89,8.56,2861.53
Networking Event,Product Launch,11,1607,Outdoor,Tokyo,44,1.47,11,Walking,234.73,289,Vegan,1607,9.57,23.82,2029.52
Conference,Seminar,43,1518,Office,Berlin,11,0.37,43,Bus,269.83,452,Non-Vegetarian,1518,5.42,16.15,12761.43
Workshop,Trade Show,16,531,Outdoor,New York,22,0.9,16,Bus,43.71,29,Non-Vegetarian,531,10.35,8.3,2130.26
Corporate Training,Product Launch,39,115,Convention Center,Dubai,37,0.13,39,Bicycle,271.99,40,Vegan,115,10.45,7.13,243.96
Atelier,Trade Show,1,1863,Coworking Space,Paris,24,1.16,1,Walking,475.31,322,Non-Vegetarian,1863,9.71,31.06,6615.96
Networking,Trade Show,29,1819,Office,Berlin,38,1.6,29,Bicycle,90.01,220,Vegan,1819,16.45,31.97,2797.44
Networking,Team Building,30,427,Outdoor,New York,17,1.16,30,Bus,156.36,120,Non-Vegetarian,427,9.69,34.81,3005.09
Événement de Bienfaisance,Workshop,48,1575,Outdoor,Paris,50,1.17,48,Walking,496.25,347,Non-Vegetarian,1575,12.4,25.42,6992.14
Product Launch,Fundraiser,17,1415,Outdoor,New York,10,1.97,17,Train,2.76,317,Vegetarian,1415,11.83,45.31,2439.23
Board Meeting,Fundraiser,15,764,Convention Center,London,32,1.76,15,Car,61.98,115,Non-Vegetarian,764,10.58,24.65,4663.68
Lancement de Produit,Seminar,29,628,Office,London,33,0.39,29,Car,251.93,44,Non-Vegetarian,628,19.64,8.78,4769.29
Trade Show,Fundraiser,38,459,Outdoor,Tokyo,27,0.82,38,Bus,412.15,274,Mixed,459,14.06,43.07,8458.17
Atelier,Corporate Training,31,392,Hotel,Sydney,33,1.64,31,Plane,191.83,107,Vegan,392,13.04,33.22,6454.83
Séminaire,Product Launch,48,600,Hotel,New York,46,0.49,48,Plane,412.02,402,Non-Vegetarian,600,1.32,31.19,44113.99
Fundraiser,Product Launch,36,941,Coworking Space,Berlin,11,1.32,36,Bus,1.2,391,Non-Vegetarian,941,17.26,6.81,3631.15
Atelier,Team Building,7,1499,Hotel,Dubai,45,0.51,7,Bus,496.22,343,Mixed,1499,16.24,6.03,14084.57
Conférence,Product Launch,20,1454,Convention Center,Berlin,14,0.44,20,Bicycle,470.83,350,Non-Vegetarian,1454,7.65,8.73,5183.36
Networking Event,Team Building,14,878,Outdoor,Tokyo,28,1.0,14,Walking,133.66,266,Vegan,878,1.49,9.0,1094.98
Trade Show,Trade Show,14,1301,Convention Center,Dubai,34,0.16,14,Bicycle,236.21,341,Non-Vegetarian,1301,2.27,28.84,4653.8
Seminar,Workshop,45,1663,Outdoor,Tokyo,37,1.08,45,Bus,56.62,272,Vegetarian,1663,18.79,6.84,4368.9
Formation,Corporate Training,44,1525,Coworking Space,Sydney,13,1.19,44,Bicycle,340.99,324,Mixed,1525,7.06,25.26,4217.48
Team Building,Trade Show,2,1155,Hotel,Sydney,11,0.8,2,Train,449.13,380,Vegan,1155,16.02,23.94,8070.5
Workshop,Trade Show,17,1382,Hotel,Paris,34,0.48,17,Bus,452.94,272,Non-Vegetarian,1382,10.08,24.81,12437.48
Networking Event,Product Launch,18,1839,Hotel,Paris,10,1.15,18,Car,52.69,345,Non-Vegetarian,1839,5.63,16.93,10402.51
Networking,Conference,5,1536,Coworking Space,New York,39,0.45,5,Walking,170.43,121,Vegetarian,1536,7.32,18.36,2399.24
Networking Event,Product Launch,29,1177,Hotel,London,5,0.11,29,Car,486.24,122,Vegan,1177,15.27,23.3,13719.58
Corporate Training,Seminar,47,1181,Coworking Space,Paris,37,1.96,47,Bus,82.71,226,Non-Vegetarian,1181,2.93,5.08,6975.29
Trade Show,Seminar,21,580,Hotel,Dubai,16,0.34,21,Walking,45.45,310,Non-Vegetarian,580,14.86,4.54,2125.92
Team Building,Corporate Training,43,1914,Coworking Space,New York,16,1.97,43,Car,358.33,249,Mixed,1914,1.48,7.69,24218.1
Séminaire,Seminar,26,98,Outdoor,Paris,9,0.35,26,Walking,252.15,44,Vegan,98,14.34,39.02,245.67
Réunion du Conseil,Fundraiser,42,1004,Convention Center,Sydney,24,0.96,42,Bus,107.85,294,Non-Vegetarian,1004,7.16,10.34,5935.31
Product Launch,Fundraiser,46,307,Outdoor,Berlin,41,1.14,46,Car,304.59,106,Vegetarian,307,15.06,36.06,8417.93
Product Launch,Workshop,43,1473,Outdoor,London,16,0.48,43,Bicycle,238.09,124,Non-Vegetarian,1473,3.98,15.64,5359.86
Formation,Trade Show,26,194,Office,London,41,1.98,26,Plane,128.13,369,Vegetarian,194,13.28,30.48,13253.85
Réunion du Conseil,Product Launch,8,706,Convention Center,Paris,13,1.72,8,Walking,488.64,111,Non-Vegetarian,706,9.24,34.42,2647.76
Réunion du Conseil,Fundraiser,18,217,Office,Dubai,21,0.64,18,Train,468.79,252,Mixed,217,18.7,26.93,5480.12
Atelier,Conference,43,1554,Outdoor,Sydney,44,0.9,43,Bicycle,293.96,157,Vegetarian,1554,17.98,30.97,3280.3
Fundraiser,Trade Show,23,379,Convention Center,Berlin,20,0.24,23,Bicycle,64.34,81,Non-Vegetarian,379,11.73,17.3,1439.76
Événement de Bienfaisance,Seminar,18,311,Coworking Space,Berlin,9,1.37,18,Train,366.78,349,Non-Vegetarian,311,15.58,42.41,6435.7
Networking Event,Corporate Training,11,756,Office,Tokyo,31,0.59,11,Bicycle,166.26,99,Vegan,756,2.6,22.47,906.74
Seminar,Seminar,6,1536,Convention Center,Tokyo,39,1.54,6,Train,317.98,153,Vegan,1536,14.1,43.12,3776.66
Workshop,Conference,47,1274,Hotel,Tokyo,46,0.52,47,Bus,464.51,20,Vegan,1274,8.62,41.71,2494.19
Networking Event,Corporate Training,47,1384,Office,Tokyo,19,1.39,47,Car,304.51,145,Vegan,1384,10.65,14.18,11326.62
Product Launch,Team Building,8,609,Coworking Space,Berlin,11,0.73,8,Bicycle,229.69,484,Non-Vegetarian,609,19.3,3.8,2209.82
Séminaire,Corporate Training,37,966,Coworking Space,London,29,1.26,37,Bicycle,461.54,103,Vegan,966,17.46,5.19,1687.29
Seminar,Conference,31,264,Outdoor,Berlin,27,1.69,31,Car,494.09,228,Vegan,264,12.98,37.27,24728.79
Corporate Training,Corporate Training,7,712,Coworking Space,Berlin,42,1.32,7,Bus,25.53,161,Mixed,712,8.03,40.67,2318.06
Networking,Workshop,10,1160,Coworking Space,London,29,0.67,10,Plane,19.61,396,Vegetarian,1160,6.39,44.85,3881.02
Lancement de Produit,Networking Event,45,1278,Outdoor,Berlin,20,0.93,45,Walking,43.92,231,Vegetarian,1278,12.61,24.81,2410.34
Lancement de Produit,Product Launch,7,737,Outdoor,Tokyo,32,0.95,7,Train,429.11,444,Vegan,737,9.03,42.13,8566.71
Formation,Seminar,8,33,Convention Center,Berlin,45,0.42,8,Walking,229.56,378,Non-Vegetarian,33,4.9,6.0,212.9
Trade Show,Board Meeting,17,1500,Office,Dubai,16,1.05,17,Bicycle,33.94,145,Vegan,1500,12.19,16.95,1701.08
Networking Event,Trade Show,18,629,Hotel,Sydney,12,0.96,18,Bus,247.62,123,Vegan,629,7.52,32.98,2641.12
Trade Show,Networking Event,14,1144,Office,Berlin,20,0.87,14,Walking,110.28,220,Vegan,1144,2.33,8.19,1286.84
Conférence,Product Launch,34,1008,Convention Center,Paris,7,0.57,34,Plane,55.81,350,Vegan,1008,5.08,37.81,6044.98
Networking,Fundraiser,3,1215,Hotel,Sydney,42,0.34,3,Train,421.76,27,Vegan,1215,5.38,38.46,1779.6
Lancement de Produit,Board Meeting,31,478,Coworking Space,Sydney,24,1.4,31,Plane,305.06,110,Vegetarian,478,18.3,13.1,9689.75
Fundraiser,Conference,26,1353,Coworking Space,Berlin,40,1.17,26,Walking,222.9,278,Non-Vegetarian,1353,18.65,9.2,5399.6
Formation,Product Launch,4,63,Coworking Space,New York,12,0.41,4,Plane,450.72,379,Mixed,63,11.75,4.57,42905.7
Corporate Training,Networking Event,46,344,Hotel,Dubai,34,0.77,46,Bicycle,331.81,164,Vegetarian,344,17.54,42.47,1238.16
Board Meeting,Product Launch,36,532,Office,London,31,1.74,36,Bicycle,241.12,135,Vegetarian,532,11.96,21.97,1836.78
Atelier,Seminar,21,1906,Outdoor,London,31,0.39,21,Plane,495.56,130,Mixed,1906,2.65,20.27,21043.49
Corporate Training,Fundraiser,48,1595,Convention Center,Sydney,38,0.91,48,Walking,268.57,297,Vegetarian,1595,8.18,45.08,3328.94
Conference,Trade Show,7,280,Hotel,Tokyo,42,1.6,7,Walking,57.77,346,Mixed,280,7.42,39.66,1029.36
Fundraiser,Conference,35,1507,Hotel,Sydney,50,1.92,35,Car,25.24,67,Vegetarian,1507,12.03,42.97,4405.63
Atelier,Fundraiser,46,924,Coworking Space,London,30,0.47,46,Train,266.16,451,Vegan,924,12.9,44.69,6165.01
Networking Event,Fundraiser,15,819,Hotel,Paris,48,1.97,15,Bicycle,471.42,380,Mixed,819,6.26,18.94,2807.1
Networking,Workshop,1,132,Outdoor,London,6,1.92,1,Bicycle,170.19,177,Vegetarian,132,12.56,24.54,277.96
Networking,Product Launch,19,1796,Office,Dubai,23,1.93,19,Car,122.13,139,Vegetarian,1796,19.14,46.51,6811.98
Conference,Corporate Training,42,1554,Coworking Space,Berlin,17,1.19,42,Bicycle,295.69,483,Vegan,1554,2.47,26.85,2037.47
Atelier,Board Meeting,28,110,Outdoor,Paris,20,1.09,28,Walking,195.77,410,Vegetarian,110,12.61,40.55,576.52
Workshop,Conference,45,667,Office,Berlin,50,0.64,45,Bus,64.97,11,Mixed,667,4.34,36.17,2511.4
Événement de Bienfaisance,Corporate Training,9,165,Coworking Space,Tokyo,28,0.72,9,Bus,480.64,225,Vegan,165,13.73,20.93,6813.68
Fundraiser,Board Meeting,40,1565,Convention Center,Paris,26,0.43,40,Car,53.09,251,Non-Vegetarian,1565,18.55,8.49,8553.55
Seminar,Workshop,31,1644,Office,Tokyo,42,1.26,31,Plane,376.4,471,Non-Vegetarian,1644,13.9,23.27,50969.7
Atelier,Corporate Training,12,726,Office,Sydney,29,0.35,12,Bus,192.4,349,Vegan,726,19.96,44.99,4945.66
Networking,Seminar,35,1982,Outdoor,Sydney,6,1.02,35,Bus,70.53,407,Non-Vegetarian,1982,10.4,9.94,8807.12
Trade Show,Seminar,44,292,Coworking Space,New York,15,1.34,44,Plane,252.51,377,Vegan,292,7.6,23.02,24594.51
Réunion du Conseil,Product Launch,14,1256,Outdoor,London,8,1.01,14,Train,126.17,170,Vegetarian,1256,16.62,40.65,2913.06
Team Building,Fundraiser,5,1964,Coworking Space,Sydney,21,0.74,5,Train,430.8,362,Vegan,1964,8.56,25.09,8308.13
Événement de Bienfaisance,Team Building,32,1201,Office,Paris,9,1.76,32,Bus,143.82,91,Non-Vegetarian,1201,9.61,47.95,5357.32
Board Meeting,Product Launch,24,97,Hotel,London,7,1.74,24,Bicycle,123.78,295,Vegetarian,97,18.47,1.98,332.56
Événement de Bienfaisance,Conference,23,1715,Coworking Space,New York,26,0.4,23,Walking,1.46,62,Vegetarian,1715,4.07,37.99,2776.22
Team Building,Conference,8,592,Coworking Space,Paris,15,0.26,8,Car,462.74,258,Vegetarian,592,16.16,21.19,26049.55
Networking Event,Team Building,31,430,Hotel,Paris,21,1.45,31,Car,281.93,263,Non-Vegetarian,430,8.97,18.68,17603.27
Réunion du Conseil,Conference,45,1422,Coworking Space,New York,17,0.76,45,Bus,175.08,82,Non-Vegetarian,1422,5.22,15.77,6171.07
Networking,Product Launch,16,404,Office,Paris,11,0.4,16,Bicycle,499.28,151,Non-Vegetarian,404,8.67,41.22,1548.98
Team Building,Corporate Training,5,565,Office,Paris,28,1.56,5,Bus,402.88,480,Non-Vegetarian,565,3.09,44.41,13784.64
Seminar,Team Building,42,1624,Coworking Space,Dubai,20,1.29,42,Walking,363.68,122,Vegetarian,1624,9.79,49.37,3096.12
Corporate Training,Team Building,2,11,Hotel,New York,31,0.25,2,Walking,269.34,169,Vegan,11,18.71,1.95,60.07
Formation,Seminar,15,1233,Convention Center,Berlin,21,0.5,15,Bicycle,493.54,90,Non-Vegetarian,1233,3.26,23.1,4446.97
Seminar,Networking Event,24,1004,Hotel,London,17,1.19,24,Bus,62.08,384,Vegan,1004,3.93,5.89,2696.72
Trade Show,Workshop,23,787,Office,Sydney,28,0.83,23,Bus,447.09,125,Vegetarian,787,5.45,17.22,4846.27
Conference,Fundraiser,38,341,Office,Sydney,29,1.14,38,Bicycle,43.7,355,Mixed,341,8.39,49.36,1596.14
Trade Show,Product Launch,46,960,Hotel,Paris,32,0.54,46,Car,130.73,250,Mixed,960,18.78,20.59,9739.5
Corporate Training,Trade Show,15,273,Coworking Space,Dubai,46,1.92,15,Bus,296.85,374,Mixed,273,10.44,31.64,8090.37
Workshop,Team Building,3,1281,Outdoor,Dubai,22,1.67,3,Walking,261.59,172,Mixed,1281,18.01,3.2,3300.03
Fundraiser,Workshop,30,1925,Convention Center,Berlin,31,0.12,30,Walking,276.58,432,Mixed,1925,16.4,49.26,4999.62
Événement de Bienfaisance,Conference,43,349,Convention Center,London,38,1.05,43,Walking,214.64,41,Vegetarian,349,3.13,24.46,1436.53
Workshop,Fundraiser,8,866,Office,Berlin,12,0.37,8,Bus,72.41,373,Vegan,866,1.76,45.46,2598.74
Réunion du Conseil,Trade Show,18,323,Outdoor,Tokyo,25,1.14,18,Plane,281.61,31,Non-Vegetarian,323,5.43,29.76,3639.86
Formation,Networking Event,39,1813,Hotel,Tokyo,32,0.84,39,Walking,372.91,11,Vegetarian,1813,12.99,30.22,3330.08
Team Building,Networking Event,45,1759,Convention Center,Paris,35,1.37,45,Bus,293.82,400,Mixed,1759,18.59,44.63,12654.49
Workshop,Board Meeting,17,208,Outdoor,London,24,1.54,17,Train,356.01,464,Vegan,208,1.56,39.46,7211.75
Corporate Training,Corporate Training,41,1446,Convention Center,Dubai,24,1.51,41,Walking,464.93,20,Non-Vegetarian,1446,1.55,45.47,5897.96
Board Meeting,Seminar,26,1063,Outdoor,Berlin,31,1.29,26,Walking,153.04,363,Vegan,1063,1.58,40.75,1667.53
Corporate Training,Workshop,44,818,Convention Center,Berlin,5,1.83,44,Bicycle,373.42,224,Non-Vegetarian,818,14.77,28.84,3151.52
Réunion du Conseil,Trade Show,32,1534,Coworking Space,Tokyo,36,1.4,32,Train,288.17,430,Vegan,1534,13.99,18.45,7361.8
Board Meeting,Product Launch,33,398,Convention Center,London,17,0.7,33,Plane,381.58,228,Mixed,398,1.25,12.36,22968.63
Networking,Product Launch,17,1310,Hotel,Berlin,19,1.61,17,Bus,136.18,396,Vegan,1310,2.35,10.15,4830.65
Réunion du Conseil,Corporate Training,7,1004,Convention Center,Tokyo,16,1.41,7,Bicycle,450.33,326,Vegan,1004,7.68,30.53,1159.38
Product Launch,Board Meeting,18,1510,Hotel,Tokyo,38,1.82,18,Bus,78.05,444,Vegetarian,1510,5.93,20.65,5019.85
Team Building,Trade Show,21,925,Coworking Space,New York,7,0.49,21,Walking,498.46,113,Vegetarian,925,14.32,21.95,1496.06
Team Building,Workshop,30,1816,Office,New York,43,0.61,30,Bus,36.55,177,Mixed,1816,19.23,40.05,5440.17
Atelier,Team Building,4,518,Coworking Space,New York,23,0.67,4,Bicycle,221.43,168,Non-Vegetarian,518,4.15,44.52,1941.16
Séminaire,Corporate Training,48,1786,Outdoor,Dubai,39,1.14,48,Walking,496.45,201,Vegetarian,1786,5.0,9.08,3774.2
Événement de Bienfaisance,Networking Event,33,227,Office,London,26,1.77,33,Walking,157.76,179,Non-Vegetarian,227,13.16,8.37,1596.89
Team Building,Board Meeting,3,595,Office,Paris,28,1.78,3,Walking,180.07,261,Vegan,595,7.32,38.04,760.48
Board Meeting,Networking Event,19,264,Outdoor,Berlin,8,0.47,19,Bus,64.93,334,Non-Vegetarian,264,13.27,47.43,2382.32
Team Building,Team Building,39,906,Hotel,Sydney,10,1.15,39,Car,111.58,290,Vegetarian,906,6.74,35.78,8463.51
Atelier,Conference,40,1483,Hotel,Paris,33,1.08,40,Bus,82.6,422,Vegan,1483,18.85,28.81,4382.55
Séminaire,Trade Show,13,1590,Office,London,47,0.57,13,Car,487.36,147,Mixed,1590,14.06,28.43,19278.92
Board Meeting,Workshop,11,1704,Convention Center,Dubai,14,1.36,11,Car,385.74,419,Non-Vegetarian,1704,17.22,24.98,40094.38
Conference,Product Launch,21,1937,Coworking Space,New York,18,1.42,21,Train,475.89,451,Non-Vegetarian,1937,15.79,18.14,15700.8
Workshop,Workshop,31,1379,Coworking Space,Berlin,22,0.94,31,Train,205.48,302,Mixed,1379,8.06,26.58,6319.52
Réunion du Conseil,Networking Event,17,1109,Office,Sydney,41,0.6,17,Bus,364.96,142,Vegan,1109,11.14,17.94,4485.72
Board Meeting,Networking Event,23,1319,Outdoor,Paris,8,1.0,23,Bicycle,137.61,34,Non-Vegetarian,1319,4.84,3.18,4724.54
Seminar,Conference,15,171,Hotel,Berlin,21,0.27,15,Plane,436.93,98,Mixed,171,15.5,45.68,11297.17
Conférence,Team Building,5,958,Coworking Space,New York,16,1.18,5,Bus,67.66,276,Non-Vegetarian,958,15.06,21.94,4594.65
Conférence,Workshop,44,431,Office,Paris,42,1.95,44,Plane,284.33,335,Mixed,431,17.91,5.46,26738.68
Réunion du Conseil,Workshop,16,1060,Outdoor,New York,24,1.15,16,Train,53.08,474,Mixed,1060,8.0,25.88,3944.96
Atelier,Networking Event,29,284,Outdoor,Tokyo,10,1.64,29,Plane,141.41,85,Vegan,284,14.71,26.7,3609.58
Networking,Corporate Training,21,677,Hotel,Paris,36,1.21,21,Car,237.64,90,Vegetarian,677,8.4,20.59,6022.26
Product Launch,Workshop,33,1439,Coworking Space,London,21,1.9,33,Train,333.27,302,Non-Vegetarian,1439,1.66,49.68,9823.43
Réunion du Conseil,Team Building,38,23,Coworking Space,Dubai,30,0.7,38,Walking,314.57,304,Mixed,23,12.24,47.12,575.22
Trade Show,Workshop,31,1930,Outdoor,Berlin,7,0.4,31,Car,482.05,172,Vegetarian,1930,13.43,38.17,20453.25
Conférence,Product Launch,42,1674,Office,London,23,1.62,42,Train,325.91,29,Vegan,1674,1.19,25.82,2888.54
Conférence,Trade Show,37,1947,Hotel,New York,19,0.8,37,Walking,397.97,226,Non-Vegetarian,1947,18.13,17.11,7166.18
Conference,Conference,18,1414,Coworking Space,Sydney,6,1.69,18,Bicycle,369.8,70,Vegan,1414,16.44,35.0,1608.14
Lancement de Produit,Product Launch,4,257,Convention Center,Berlin,35,1.89,4,Plane,204.52,107,Non-Vegetarian,257,12.17,7.45,6541.95
Réunion du Conseil,Trade Show,35,1602,Coworking Space,Tokyo,46,0.11,35,Bus,429.92,179,Mixed,1602,8.68,46.79,8821.83
Séminaire,Conference,38,1213,Outdoor,Paris,25,1.63,38,Train,387.14,391,Vegetarian,1213,17.03,21.25,8725.18
Événement de Bienfaisance,Conference,31,568,Outdoor,New York,25,1.58,31,Car,479.77,357,Non-Vegetarian,568,9.87,28.0,38644.35
Séminaire,Conference,17,437,Office,Sydney,23,1.92,17,Bicycle,332.16,293,Vegan,437,8.3,46.63,922.22
Réunion du Conseil,Trade Show,45,1957,Office,Paris,20,0.69,45,Car,256.18,223,Non-Vegetarian,1957,17.35,12.65,19216.91
Fundraiser,Fundraiser,44,1301,Coworking Space,Sydney,14,0.33,44,Plane,12.83,347,Vegan,1301,10.86,6.05,2549.46
Product Launch,Corporate Training,26,1062,Outdoor,Paris,35,1.56,26,Bus,308.39,323,Mixed,1062,0.7,7.15,9357.1
Réunion du Conseil,Workshop,25,690,Office,London,23,1.24,25,Bicycle,228.52,244,Mixed,690,9.77,20.69,2142.42
Atelier,Conference,1,1105,Hotel,Sydney,45,1.99,1,Bus,111.4,480,Non-Vegetarian,1105,10.13,18.08,7177.02
Product Launch,Trade Show,22,901,Hotel,New York,40,1.44,22,Bus,204.35,116,Non-Vegetarian,901,14.96,16.49,5272.28
Workshop,Trade Show,28,1096,Outdoor,Berlin,23,1.97,28,Train,15.42,160,Mixed,1096,14.61,5.71,3513.67
Conference,Conference,28,87,Hotel,Berlin,45,1.86,28,Train,294.37,355,Vegetarian,87,18.51,39.34,5598.05
Fundraiser,Product Launch,1,1676,Coworking Space,Tokyo,23,0.91,1,Car,153.58,499,Mixed,1676,19.28,43.37,20419.41
Product Launch,Workshop,48,1263,Hotel,London,8,1.39,48,Train,167.81,24,Mixed,1263,6.71,16.07,3631.04
Team Building,Networking Event,26,218,Outdoor,Dubai,47,0.54,26,Car,414.79,121,Vegetarian,218,19.18,40.62,11316.35
Séminaire,Seminar,12,364,Coworking Space,Sydney,24,1.06,12,Bicycle,348.43,316,Mixed,364,10.01,25.78,1134.22
Conférence,Product Launch,35,1650,Coworking Space,Tokyo,7,1.14,35,Bicycle,375.44,205,Non-Vegetarian,1650,16.4,34.63,6016.71
Formation,Networking Event,9,1267,Coworking Space,Sydney,41,0.36,9,Bus,410.44,475,Vegetarian,1267,14.49,22.71,13738.86
Atelier,Fundraiser,36,841,Hotel,Sydney,42,1.76,36,Bus,469.71,471,Vegetarian,841,17.36,7.53,15915.84
Fundraiser,Board Meeting,33,1513,Convention Center,Berlin,14,0.48,33,Bus,399.36,324,Vegan,1513,1.05,22.02,9433.58
Réunion du Conseil,Seminar,28,407,Outdoor,Tokyo,20,0.63,28,Walking,89.47,333,Vegan,407,7.6,14.17,626.94
Atelier,Board Meeting,39,511,Coworking Space,Dubai,23,1.79,39,Plane,375.51,479,Mixed,511,15.05,24.28,47126.3
Board Meeting,Trade Show,34,1990,Convention Center,Berlin,35,1.99,34,Car,297.34,179,Mixed,1990,8.18,48.84,17450.1
Seminar,Board Meeting,32,1825,Outdoor,Paris,42,1.32,32,Car,44.38,92,Non-Vegetarian,1825,3.38,48.53,8235.78
Board Meeting,Board Meeting,35,152,Outdoor,Tokyo,42,0.22,35,Walking,419.19,265,Vegetarian,152,9.9,16.39,442.28
Corporate Training,Team Building,12,1648,Convention Center,Berlin,46,1.92,12,Bus,17.53,383,Vegetarian,1648,15.64,14.85,3465.74
Networking Event,Corporate Training,1,758,Outdoor,Paris,24,1.5,1,Bus,376.98,226,Non-Vegetarian,758,1.97,23.59,7833.97
Conférence,Corporate Training,22,1899,Convention Center,London,46,1.33,22,Walking,477.83,187,Vegan,1899,17.98,42.58,2693.1
Seminar,Corporate Training,29,1312,Outdoor,London,22,0.15,29,Walking,418.37,200,Mixed,1312,8.53,25.92,3396.75
Workshop,Conference,1,1246,Convention Center,Sydney,48,1.84,1,Car,426.96,466,Vegetarian,1246,17.99,14.82,43761.09
Trade Show,Workshop,21,1529,Hotel,London,38,1.48,21,Train,202.36,102,Vegetarian,1529,3.96,28.44,3774.45
Conference,Networking Event,48,857,Convention Center,Sydney,27,0.55,48,Bicycle,289.93,445,Mixed,857,8.94,10.97,2538.72
Workshop,Conference,18,1968,Hotel,Dubai,48,0.4,18,Walking,384.82,498,Vegan,1968,10.94,20.33,2203.34
Conference,Board Meeting,39,1879,Convention Center,London,38,1.3,39,Bus,226.62,103,Vegan,1879,1.72,1.21,4248.67
Conference,Workshop,33,1612,Convention Center,Dubai,40,1.86,33,Walking,227.02,400,Non-Vegetarian,1612,7.68,35.73,6956.42
Formation,Board Meeting,25,93,Convention Center,Paris,37,0.18,25,Bus,328.31,254,Mixed,93,9.24,35.13,5407.93
Séminaire,Product Launch,45,1166,Coworking Space,Sydney,10,0.83,45,Car,413.33,282,Mixed,1166,14.6,24.77,27657.89
Networking Event,Product Launch,30,1869,Office,New York,35,1.33,30,Plane,45.71,476,Vegan,1869,4.28,30.97,8077.24
Trade Show,Networking Event,10,1810,Coworking Space,New York,32,1.32,10,Bus,484.34,323,Vegan,1810,11.59,39.75,11510.39
Seminar,Product Launch,28,1342,Outdoor,Paris,47,0.58,28,Bus,377.18,147,Non-Vegetarian,1342,3.22,32.45,8476.71
Corporate Training,Board Meeting,44,23,Hotel,Berlin,47,1.01,44,Walking,433.72,119,Vegetarian,23,19.63,29.64,1177.38
Conférence,Conference,41,1510,Office,London,23,1.31,41,Bus,396.31,478,Non-Vegetarian,1510,18.57,40.38,17386.74
Événement de Bienfaisance,Trade Show,35,40,Convention Center,New York,13,0.35,35,Car,92.69,55,Vegetarian,40,4.32,48.37,1315.57
Formation,Team Building,3,826,Convention Center,Berlin,36,0.37,3,Walking,126.28,192,Vegetarian,826,10.79,19.3,1319.16
